"등록번호","제목","등록일시","바로가기"
"3001","2023년 집수리 아카데미 기초과정(2회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지","2023-03-08 14:53:19.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3001"
"2985","2023년 집수리 아카데미 기초과정(1회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지 ","2023-03-03 15:09:54.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2985"
"2948","2023년 집수리 아카데미 기초과정(3회차) 교육생 모집안내","2023-02-20 17:00:02.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2948"
"2947","2023년 집수리 아카데미 기초과정(2회차) 교육생 모집안내","2023-02-20 16:58:47.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2947"
"2946","2023년 집수리 아카데미 기초과정(1회차) 교육생 모집안내","2023-02-20 16:55:57.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2946"
"2928","2023년 서울시 희망의 집수리 보조사업자(시공업체) 모집공고","2023-02-02 10:51:35.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2928"
"2905","서울특별시 집수리전문관 공개모집 공고","2022-12-06 09:20:08.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2905"
"2865","집수리 아카데미 퇴근길 교실 교육대상자 명단(예비자 포함) 및 안내사항 공지","2022-10-07 14:47:03.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2865"
"2864","집수리 아카데미 심화과정 (4회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지 ","2022-10-04 13:39:27.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2864"
"2861","퇴근길 집수리 교실 교육생 모집 안내","2022-09-28 15:38:38.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2861"
"2847","집수리 아카데미 심화과정(4회차) 교육생 모집안내","2022-09-20 17:55:52.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2847"
"2841","집수리 아카데미 심화과정 (3회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지 ","2022-09-14 10:49:52.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2841"
"2835","집수리 아카데미 기초과정(12회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지 ","2022-09-07 14:25:27.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2835"
"2829","집수리 아카데미 심화과정(3회차) 교육생 모집 안내","2022-09-02 14:51:37.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2829"
"2826","집수리 아카데미 기초과정(12회차) 교육생 모집안내","2022-08-29 16:14:08.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2826"
"2794","집수리 아카데미 기초과정(11회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지","2022-08-10 14:50:10.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2794"
"2777","집수리 아카데미 기초과정(10회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지","2022-08-05 09:29:36.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2777"
"2776","집수리 아카데미 기초과정(9회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지","2022-08-05 09:27:24.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2776"
"2773","집수리 아카데미 기초과정(11회차) 교육생 모집안내","2022-07-26 16:10:11.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2773"
"2772","집수리 아카데미 기초과정(10회차) 교육생 모집안내","2022-07-26 16:09:32.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2772"
"2771","집수리 아카데미 기초과정(9회차) 교육생 모집안내","2022-07-26 16:09:02.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2771"
"2757","집수리 아카데미 1DAY과정 (1회차, 2회차) 교육생 모집안내","2022-07-11 16:10:50.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2757"
"2737","실내건축 표준계약서 양식(공정거래위원회)","2022-06-28 20:55:00.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2737"
"2736","민간건설공사 표준도급계약서 양식(국토교통부)","2022-06-28 20:53:45.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2736"
"2731","집수리 아카데미 심화과정 (2회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지 ","2022-06-22 15:49:33.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2731"
"2730","집수리 아카데미 기초과정 (8회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지 ","2022-06-22 15:48:26.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2730"
"2729","집수리 아카데미 기초과정 (7회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지 ","2022-06-22 15:47:38.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2729"
"2714","집수리 아카데미 심화과정(2회차) 교육생 모집안내","2022-06-14 09:49:24.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2714"
"2710","집수리 아카데미 기초과정(8회차) 교육생 모집안내","2022-06-13 13:28:06.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2710"
"2709","집수리 아카데미 기초과정(7회차) 교육생 모집안내","2022-06-13 13:26:52.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2709"
"2697","집수리 아카데미 기초과정 (6회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지","2022-05-26 14:03:46.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2697"
"2696","집수리 아카데미 심화과정 (1회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지 ","2022-05-26 14:02:55.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2696"
"2695","집수리 아카데미 기초과정 (5회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지 ","2022-05-26 11:25:08.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2695"
"2684","집수리 아카데미 심화과정(1회차) 교육생 모집안내","2022-05-17 15:23:59.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2684"
"2682","집수리 아카데미 기초과정(6회차) 교육생 모집안내","2022-05-16 16:15:50.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2682"
"2681","집수리 아카데미 기초과정(5회차) 교육생 모집안내","2022-05-16 16:12:55.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2681"
"2677","주택성능개선지원구역 지정 변경 공고(서울특별시공고 제2022 - 1400호)","2022-05-09 13:52:45.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2677"
"2646","집수리 아카데미 기초과정 (4회차) 교육대상자 및 예비자 명단 및 안내사항 공지","2022-04-28 10:25:06.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2646"
"2645","집수리 아카데미 기초과정 (3회차) 교육대상자 및 예비자 명단 및 안내사항 공지 ","2022-04-28 10:23:42.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2645"
"2627","집수리 아카데미 기초과정(3, 4회차) 교육생 모집안내","2022-04-18 18:03:27.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2627"
"2598","주택성능개선지원구역 신규지정 공고(서울특별시공고 제2022 - 1063호)","2022-04-11 13:20:35.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2598"
"2586","2022년 서울가꿈주택 집수리 융자사업 신청서 및 서식","2022-04-07 08:36:46.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2586"
"2585","2022년 서울가꿈주택 집수리 보조사업 신청서 및 서식","2022-04-07 08:35:08.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2585"
"2576","2022년 서울가꿈주택 집수리 지원사업 참여자 모집공고","2022-04-06 15:24:11.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2576"
"2574","주택성능개선지원구역 지정취소 공고(서울특별시공고 제2022 -1001호, 2022년   4월   4일)","2022-04-04 17:02:37.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=2574"
